This file should be synced with: https://stendhalgame.org/wiki/Stendhal:Audio_copyright/SFX

data/sounds/

alligator-1.ogg            U.S. Fish and Wildlife Service; public domain; http://www.fws.gov/video/sound.htm
sneeze-baby-1.ogg          Stephan; public domain; http://soundbible.com/23-Baby-Sneeze.html
swingaxe-1.ogg             free sound pack
tadaa-1.ogg                Katie Russell (kymara); GPL
tiger-1.ogg                unknown; public domain; http://www.mediacollege.com/downloads/sound-effects/animals/cat/tiger.html
tiger-2.ogg                unknown; public domain; http://sounds.simplythebest.net/details/40/Tiger-1-sound.html
toilet-flush-1.ogg         KevanGC; public domain; http://soundbible.com/1657-Toilet-Flushing.html
toilet-flush-1.wav.xz      KevanGC; public domain; http://soundbible.com/1657-Toilet-Flushing.html
trash-1.ogg                free sound pack
trash-21.ogg               free sound pack
trash-3.ogg                free sound pack
trash-3.wav.xz             free sound pack
treecreak-1.ogg            free sound pack
undead-1.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81246
undead-2.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81246
undead-3.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81246
undead-4.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81246
undead-5.ogg               ArriGD; CC0; http://www.freesound.org/people/ArriGD/sounds/144005/
undead-5.wav.xz            ArriGD; CC0; http://www.freesound.org/people/ArriGD/sounds/144005/
water-2.ogg                free sound pack
water-3.ogg                free sound pack
water-4.ogg                free sound pack
water-5.ogg                Storyteller; GPL
water-faucet-1.ogg         unknown; public domain; http://www.pdsounds.org/sounds/faucet_water_into_sink
water-faucet-1.wav.x       free sound pack
wave-11.ogg                free sound pack
wind-2.ogg                 free sound pack
window-close-1.ogg         free sound pack
wings-flap-large-1.ogg     dave.des/; CC0; http://freesound.org/people/dave.des/sounds/127197/
wings-flap-large-1.wav.xz  dave.des/; CC0; http://freesound.org/people/dave.des/sounds/127197/
witch-cackle-1.ogg         Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81248
woodpecker-1.ogg           free sound pack
woodpecker-1.wav.xz        free sound pack
xylophone-1.ogg            Storyteller; GPL
xylophone-1.wav.xz         Storyteller; GPL
yay-1.ogg                  Katie Russell (kymara); GPL
yell-1.ogg                 free sound pack
